Šifra;Naziv;Serijski broj;Status;Lokacija;Trenutna vrednost
098-100-0006;OPEL INSIGNIA;SN098-100-0006;available;;1000
109-130-0023;SALTER 1200X600X2500;SN109-130-0023;available;;1000
109-600-0021;FOTOAPARAT CANON EOS 4000D;SN109-600-0021;available;;1000
109-300-0100;LAPTOP LENOVO ideapad;SN109-300-0100;available;;1000
109-300-0099;HP STAMPAC MFP M130fw beli;SN109-300-0099;available;;1000
092-110-0006;KOSACICA-TRAKTOR;SN092-110-0006;available;;1000
109-610-0106;BRAVICE ZA LAMELE 2/19;SN109-610-0106;available;;1000
103-200-0002;RUTER MIKROTIK;SN103-200-0002;available;;1000
109-610-0105;LAMINAT BOR;SN109-610-0105;available;;1000
109-610-0104;BRAVICE ZA LAMELE;SN109-610-0104;available;;1000
109-300-0098;RACUNAR ATHLON 200GE 4GB;SN109-300-0098;available;;1000
109-300-0097;PRI.HP LASERJET PRO MFP M130nw;SN109-300-0097;available;;1000
109-610-0103;LAMINAT -force 4.00 gres 3 1;SN109-610-0103;available;;1000
109-610-0102;laminat-bagrem beli;SN109-610-0102;available;;1000
109-610-0101;LAMINAT HRAST;SN109-610-0101;available;;1000
109-600-0019;UREDJAJ ZA VIDEO NDZOR hard di;SN109-600-0019;available;;1000
109-610-0100;PLOCA HDF SVETLO SIVA;SN109-610-0100;available;;1000
077-110-0011;TRIMER MO.VIL.BC;SN077-110-0011;available;;1000
077-110-0010;PERAC FUL;SN077-110-0010;available;;1000
109-700-0019;LAJAVAC SAI600W SAI600W;SN109-700-0019;available;;1000
109-700-0018;USISIVAC-PREMIUM 1.348-230;SN109-700-0018;available;;1000
109-610-0099;ITISON ELEASB PROTEKT 240;SN109-610-0099;available;;1000
109-610-0098;ITISON ELEASB BRACE 2M;SN109-610-0098;available;;1000
111-120-0002;STRUJOMER-TROF.DVOTARIFNO;SN111-120-0002;available;;1000
109-610-0097;VEZNE BRAVICE ZA LAMELE;SN109-610-0097;available;;1000
091-610-0023;PEGLA BOSCH TDA7030211;SN091-610-0023;available;;1000
091-610-0022;VES MASINA BEKO WTE 11735XCST;SN091-610-0022;available;;1000
109-610-0096;LAMINAT;SN109-610-0096;available;;1000
109-610-0095;LAMINAT;SN109-610-0095;available;;1000
102-100-0030;TEL.CENTRALA grandstream gxp;SN102-100-0030;available;;1000
109-300-0096;Multifunkcijski stampacPantum;SN109-300-0096;available;;1000
109-300-0095;STAMPAC MREZNI-HP Laser Jet;SN109-300-0095;available;;1000
109-300-0094;MONITOR-AOC 21.5E2270SWDN-LED;SN109-300-0094;available;;1000
109-300-0093;RACUNAR I-EWE PC G4400/4GB/500;SN109-300-0093;available;;1000
091-460-0005;TENDA BAÅ TA;SN091-460-0005;available;;1000
109-300-0092;TABLET AlkatelOneTouchpixi3807;SN109-300-0092;available;;1000
109-610-0094;VEZNE BRAVICA ZA LAMELE-700kom;SN109-610-0094;available;;1000
092-110-0005;TRIMER MO.VIL.BC 1250 9934;SN092-110-0005;available;;1000
091-620-0061;itison elasb 145 limun zut;SN091-620-0061;available;;1000
091-620-0060;ITISON eleasb 197 brace crven;SN091-620-0060;available;;1000
109-300-0091;Gigatron Game Nitro II racunar;SN109-300-0091;available;;1000
091-610-0021;MASINA ZA VES GORENJE W 7;SN091-610-0021;available;;1000
091-610-0020;USISIVAC TASKI VENTO 15-S;SN091-610-0020;available;;1000
092-110-0004;KOSACICA MOTORNA;SN092-110-0004;available;;1000
109-600-0018;SET-TOP BOX DVB-T2 152VIVAX;SN109-600-0018;available;;1000
109-600-0017;SET TOP BOX DVB T2 153 4050 VI;SN109-600-0017;available;;1000
109-610-0093;LAMINAT KRONO 7mm;SN109-610-0093;available;;1000
109-610-0092;ITISON-PODNE OBLOGE SIVE-CRNE;SN109-610-0092;available;;1000
108-400-0009;ELEKTRICNI USISIVAC;SN108-400-0009;available;;1000
091-440-0012;SUDOPERA OKRUGLA;SN091-440-0012;available;;1000
109-610-0091;LESONIT BELO-BELO;SN109-610-0091;available;;1000
091-450-0020;STOLICE KAFANSKE;SN091-450-0020;available;;1000
109-300-0073;STAMPAC HP LASERJET M127FN;SN109-300-0073;available;;1000
121-900-0030;PANDA CLOUD OFFICE PROTECT;SN121-900-0030;available;;1000
102-100-0039;HP ML31OE XEON E3-1 SERV;SN102-100-0039;available;;1000
109-610-0090;VEZANE BRAVICE ZA LAMELE;SN109-610-0090;available;;1000
109-610-0089;LAMINAT 8mm;SN109-610-0089;available;;1000
109-300-0090;PC G1610/WIN7PRO/4/750 H61;SN109-300-0090;available;;1000
102-100-0029;TELFON VOIP GXP-1405;SN102-100-0029;available;;1000
121-900-0028;RACUNARSKI SOFTWARE -CLN;SN121-900-0028;available;;1000
121-900-0029;RACUNARSKI SOFTWARE -REST PAK;SN121-900-0029;available;;1000
091-620-0059;PALACINKARA EL.;SN091-620-0059;available;;1000
102-100-0028;VOIP TELEFON GXP-1405 GRANS;SN102-100-0028;available;;1000
109-300-0072;MONITOR 21.5GW2255LED BENQ;SN109-300-0072;available;;1000
109-300-0071;PC G1620/WIN7PRP/4/750/H61/2;SN109-300-0071;available;;1000
102-100-0027;TELEFON VOIP GXP-1405;SN102-100-0027;available;;1000
091-610-0019;USISIVAC ELEKTRICNI 1500W-30L;SN091-610-0019;available;;1000
109-300-0070;STAMPAC LASER HP P1102;SN109-300-0070;available;;1000
109-610-0088;LAMINAT 7mm II;SN109-610-0088;available;;1000
109-610-0087;LAMINAT 7mm I;SN109-610-0087;available;;1000
109-610-0086;ITISON-PODNE OBLOGE;SN109-610-0086;available;;1000
109-110-0063;KANCELARIJSKI ORMAN PO SKICI;SN109-110-0063;available;;1000
091-410-0024;PARAVAN MANJI;SN091-410-0024;available;;1000
121-900-0027;RACUNARSKI SOFTVER RZ;SN121-900-0027;available;;1000
109-300-0089;MONITOR 20GL2023A BENQ;SN109-300-0089;available;;1000
109-300-0088;PC G2030/H61/4GB/500/WIN7PRO;SN109-300-0088;available;;1000
090-231-0011;GPRS-TERMINAL ZA KASU KOLIBRI;SN090-231-0011;available;;1000
121-900-0026;RACUNARSKI SOFTWER-PROIZVODNJA;SN121-900-0026;available;;1000
109-300-0087;STAMPAC HP LASERJET M1212NF;SN109-300-0087;available;;1000
109-300-0086;PC I3-3210/W7P/4GB/1TB/MON24;SN109-300-0086;available;;1000
109-300-0085;PC G2010/W7P/4/500/H61 MON20;SN109-300-0085;available;;1000
091-410-0023;PARAVAN MANJI 135X2400;SN091-410-0023;available;;1000
091-410-0022;PARAVAN VECI 2150X2400;SN091-410-0022;available;;1000
109-400-0002;FOTOKOPIR CANON IR2520;SN109-400-0002;available;;1000
121-900-0025;RACUNARSKI SOFTWARE - RINO;SN121-900-0025;available;;1000
109-700-0017;VIDEO NADZOR (5 KAMERA);SN109-700-0017;available;;1000
091-620-0058;EL.VAGA -SD 15KG;SN091-620-0058;available;;1000
109-300-0084;HP LASERJET M121NF MFP;SN109-300-0084;available;;1000
109-610-0085;LAMINAT 8mm;SN109-610-0085;available;;1000
121-900-0024;PANDA CLOUD OFFICE PROTECT.;SN121-900-0024;available;;1000
109-610-0084;LAMINAT-IGLANI POD FAVORIT II;SN109-610-0084;available;;1000
109-610-0083;LAMINAT-IGLANI POD FAVORIT;SN109-610-0083;available;;1000
109-610-0082;LESONIT TABLE  260;SN109-610-0082;available;;1000
109-610-0081;ALUMINIJSKI PROFIL Z400.1 200;SN109-610-0081;available;;1000
109-610-0080;ALUMUNIJSKI PROFIL Z400.1385;SN109-610-0080;available;;1000
109-610-0079;ALUMINIJSKI PROFILS108.H 270;SN109-610-0079;available;;1000
109-610-0078;BRAVICE;SN109-610-0078;available;;1000
091-620-0057;TV VOX LCD 32805;SN091-620-0057;available;;1000
091-410-0021;ORMAR;SN091-410-0021;available;;1000
091-410-0020;UGAONI ORMAR;SN091-410-0020;available;;1000
091-410-0019;ORMAR 2000X800X400;SN091-410-0019;available;;1000
102-100-0026;TELEFAX KX-FP701 PANASONIC;SN102-100-0026;available;;1000
091-500-0037;HAUBA IZNAD Å PORETA;SN091-500-0037;available;;1000
091-500-0036;POSTOLJE PIZZA PECI;SN091-500-0036;available;;1000
091-500-0035;PIZZA PEC ELZ2;SN091-500-0035;available;;1000
121-900-0023;RACUNARSKI SOFTVER;SN121-900-0023;available;;1000
109-130-0022;KLUB STO;SN109-130-0022;available;;1000
109-110-0062;KANCELARIJSKA KOMODA;SN109-110-0062;available;;1000
109-110-0061;POKRETNI FIOKAR;SN109-110-0061;available;;1000
109-110-0060;KANCELARIJSKI STO;SN109-110-0060;available;;1000
109-110-0059;KOMODA PO SKICI;SN109-110-0059;available;;1000
108-400-0008;KLIMA VOX VSR 1-12HR;SN108-400-0008;available;;1000
109-610-0077;LESONIT SIVI;SN109-610-0077;available;;1000
121-900-0022;RACUNARSKI SOFTVER;SN121-900-0022;available;;1000
098-100-0004;SUZUKI SWIFT 1.3 GC/5V;SN098-100-0004;available;;1000
098-200-0002;FIAT DOBLO CARGO RST 1.9JTD FL;SN098-200-0002;available;;1000
091-610-0018;MASINA ZA VES GORENJE WA60065;SN091-610-0018;available;;1000
091-620-0056;TEPIH-ITISON;SN091-620-0056;available;;1000
109-600-0016;ZVUCNICI 2.0 GENIUS SP-HF1255A;SN109-600-0016;available;;1000
091-610-0017;ELEKTRICNI USISIVAC 1500 W-18L;SN091-610-0017;available;;1000
121-900-0021;PRIKLJUCAK ZA TELEFON JEZERO;SN121-900-0021;available;;1000
108-400-0007;ELEKTRICNI USISIVAC 1500W-18L;SN108-400-0007;available;;1000
108-400-0006;KLIMA MIDEA MSR-18HR R6;SN108-400-0006;available;;1000
091-420-0012;HARMONIKA VRATA;SN091-420-0012;available;;1000
091-420-0009;AL.VRATA 1616X2090;SN091-420-0009;available;;1000
091-420-0008;AL.VRATA 832X2154;SN091-420-0008;available;;1000
091-420-0007;AL.VRATA 1500X2200;SN091-420-0007;available;;1000
091-620-0055;DUOFIX PISOAR ODISEJ W390101;SN091-620-0055;available;;1000
077-110-0009;MERDEVINE ALUMINIJSKE 3X11;SN077-110-0009;available;;1000
109-300-0083;STAMPAC HP P1102/VNC3B38518;SN109-300-0083;available;;1000
091-450-0019;UGAONI DRVENI STOLOVI;SN091-450-0019;available;;1000
091-620-0054;EL.RASHLADNA VITRINA;SN091-620-0054;available;;1000
091-500-0034;EL.PEC ZA BUREK;SN091-500-0034;available;;1000
091-620-0053;KOLICA ZA PRENOS ROBE;SN091-620-0053;available;;1000
090-231-0010;FISKALNE KASE;SN090-231-0010;available;;1000
091-500-0033;FRIZIDER VELIKI;SN091-500-0033;available;;1000
091-620-0052;BOJLER 80L;SN091-620-0052;available;;1000
108-300-0008;KALORIFER;SN108-300-0008;available;;1000
091-450-0018;DRVENE POLICE RAFOVI;SN091-450-0018;available;;1000
121-900-0020;RACUNARSKI SOFTVER-RES PAK;SN121-900-0020;available;;1000
121-900-0019;RACUNATSKI SOFTER-ROB-MAT;SN121-900-0019;available;;1000
109-610-0076;STAZA CORONA 1.0 DEZEN 40;SN109-610-0076;available;;1000
109-610-0075;STAZA CORONA 1.0 DEZEN 33;SN109-610-0075;available;;1000
109-300-0082;BENQ MONITOR 18.5 G950A;SN109-300-0082;available;;1000
109-300-0081;EWE PC 1.6/2048/320 WINDOWS 7;SN109-300-0081;available;;1000
109-300-0080;STAMPAC HP P1102/VNC3B38518;SN109-300-0080;available;;1000
121-900-0018;RACUNARSKI SOFTVER-ROB-MAT;SN121-900-0018;available;;1000
109-300-0079;STAMPAC CANON MP280;SN109-300-0079;available;;1000
109-300-0068;RACUNAR ALTOS BEST BUY INTEL;SN109-300-0068;available;;1000
109-300-0067;FISKALNI STAMPAC HPC P2-DS+TER;SN109-300-0067;available;;1000
102-100-0025;TELEFON grand.budge.tone;SN102-100-0025;available;;1000
109-300-0065;RACUNAR P4 AMD PODSKLOP  485;SN109-300-0065;available;;1000
109-610-0073;PODNA OBLOGA SA FOLIJOM;SN109-610-0073;available;;1000
109-610-0069;LESONIT 235X97.8;SN109-610-0069;available;;1000
091-610-0004;VES MASINA;SN091-610-0004;available;;1000
091-610-0005;MASINA ZA SUSENJE VESA;SN091-610-0005;available;;1000
091-610-0006;VALJAK ZA PEGLANJE VESA;SN091-610-0006;available;;1000
091-620-0006;MASINA ZA MLEVENO MESO;SN091-620-0006;available;;1000
091-620-0007;POJACALO SA ZVUCNICIMA;SN091-620-0007;available;;1000
091-610-0007;USISIVAC;SN091-610-0007;available;;1000
091-620-0008;KONTEJNERI;SN091-620-0008;available;;1000
091-620-0009;SAMONAREZNICA;SN091-620-0009;available;;1000
091-410-0004;KASETA ZA KLJUC SPEC.;SN091-410-0004;available;;1000
091-620-0010;ZARDINJERA;SN091-620-0010;available;;1000
091-610-0008;SALTER.PREG.KOD PORTIRA;SN091-610-0008;available;;1000
091-610-0009;PLOCA PREKLOPNA;SN091-610-0009;available;;1000
091-610-0010;VEZNA PLOCA;SN091-610-0010;available;;1000
091-610-0011;LINIJA SAMOPOSLUZENJA;SN091-610-0011;available;;1000
091-500-0009;PECENJARA ELEKTRICNA;SN091-500-0009;available;;1000
091-620-0011;PANJ ZA MESO;SN091-620-0011;available;;1000
091-620-0012;PODLOSKE DRVENE;SN091-620-0012;available;;1000
091-600-0005;MASINA ZA PRANJE SUDJA;SN091-600-0005;available;;1000
091-620-0013;KUTIJA ZA HLEB;SN091-620-0013;available;;1000
091-620-0014;KUTIJA ZA PRIBOR;SN091-620-0014;available;;1000
091-490-0001;KONZOLNI OCEDJIVAC MANJI;SN091-490-0001;available;;1000
091-490-0002;KONZOLNI OCEDJIVAC VECI;SN091-490-0002;available;;1000
091-620-0015;RETRO PULT SA 2 POLICE;SN091-620-0015;available;;1000
091-500-0010;KONZ.PECENJARA SA ROSTILJEM;SN091-500-0010;available;;1000
091-500-0011;EL.ZARNA PLOCICA NA STALAZI;SN091-500-0011;available;;1000
091-410-0005;DECIJI STOLOVI;SN091-410-0005;available;;1000
091-600-0006;VALJAK ZA PEGLANJE;SN091-600-0006;available;;1000
091-620-0016;MLIN ZA KAFU;SN091-620-0016;available;;1000
109-120-0012;CELICNA KASA;SN109-120-0012;available;;1000
109-110-0045;STOLICA BISTRO TAPA;SN109-110-0045;available;;1000
109-110-0046;STO 80X80;SN109-110-0046;available;;1000
077-110-0003;BRUSILICA UB 2006;SN077-110-0003;available;;1000
091-600-0007;RAZGLAS;SN091-600-0007;available;;1000
091-600-0008;VIDEOREKORDER;SN091-600-0008;available;;1000
091-470-0003;RAF POLICE;SN091-470-0003;available;;1000
108-300-0005;PLINSKA INSTALACIJA;SN108-300-0005;available;;1000
091-620-0017;BAZEN KOLICA;SN091-620-0017;available;;1000
097-100-0001;INHALATOR NE II-128;SN097-100-0001;available;;1000
108-400-0002;KOMPRESOR DORIN;SN108-400-0002;available;;1000
109-230-0001;RACUNSKA MASINA OLIVETI;SN109-230-0001;available;;1000
109-110-0047;STOLICA 300R;SN109-110-0047;available;;1000
091-620-0018;BOJLER ZA TOPLU VODU 1300 LIT;SN091-620-0018;available;;1000
091-620-0019;APARAT ZA KUVANJE KAFE-KAFEMAT;SN091-620-0019;available;;1000
091-620-0020;BOJLER 1300 SA IZMENJ.TOPLOTE;SN091-620-0020;available;;1000
091-450-0005;STOLICE METALNE BAÅ TA;SN091-450-0005;available;;1000
091-620-0021;ITISON;SN091-620-0021;available;;1000
091-620-0022;BOJLER 1300 LIT.;SN091-620-0022;available;;1000
096-110-0001;KLUPE ZA TERETANU;SN096-110-0001;available;;1000
090-231-0003;FISKALNA KASA COMPACT;SN090-231-0003;available;;1000
109-300-0044;PC PENTIUM 4;SN109-300-0044;available;;1000
092-110-0002;MOTORNA KOSA;SN092-110-0002;available;;1000
091-620-0023;BOJLER;SN091-620-0023;available;;1000
109-300-0045;STAMPAC SKENER KOPIR-FAX4;SN109-300-0045;available;;1000
091-620-0024;TV WEG W14;SN091-620-0024;available;;1000
091-620-0025;TV ROLSEN 29 R70;SN091-620-0025;available;;1000
091-620-0026;MUZ.STUB PANASONIK SC AK240F-S;SN091-620-0026;available;;1000
091-620-0027;TV FOX 2010 T;SN091-620-0027;available;;1000
096-110-0002;STO ZA STONI TENIS;SN096-110-0002;available;;1000
091-600-0009;VES MASINA EI NIS-EIDA;SN091-600-0009;available;;1000
091-620-0028;TV CROWN 29;SN091-620-0028;available;;1000
091-620-0029;TV BESTWEL 403;SN091-620-0029;available;;1000
091-620-0030;MIKSER PLANETARNI;SN091-620-0030;available;;1000
091-620-0031;TV CRONN;SN091-620-0031;available;;1000
091-620-0032;ITISON;SN091-620-0032;available;;1000
091-620-0033;ITISON;SN091-620-0033;available;;1000
091-620-0034;ITISON-STEPENISTE;SN091-620-0034;available;;1000
091-620-0035;TV CVADRO CTV 3731TXT;SN091-620-0035;available;;1000
091-620-0036;NOSAC TV MUNOMUVIF STI.VER;SN091-620-0036;available;;1000
091-620-0037;NOSAC TV MOSFERO 30;SN091-620-0037;available;;1000
091-620-0038;TV FOX;SN091-620-0038;available;;1000
091-620-0039;TV GOLDMARK;SN091-620-0039;available;;1000
096-100-0001;FOTOAPARAT CANON A580;SN096-100-0001;available;;1000
096-100-0002;MASINA ZA GRUDNE MISICE;SN096-100-0002;available;;1000
096-100-0003;MASINA ZA LEDJNE MISICE;SN096-100-0003;available;;1000
096-100-0004;MASINA ZA PULI;SN096-100-0004;available;;1000
096-100-0005;MASINA ZA MISICE RUKU;SN096-100-0005;available;;1000
096-110-0003;KLUPA ZA TRB.MISICE;SN096-110-0003;available;;1000
096-110-0004;KLUPA ZA GRUDNE MISICE;SN096-110-0004;available;;1000
096-110-0005;KLUPA ZA MISICE RAMENA I GRUDI;SN096-110-0005;available;;1000
096-110-0006;SIPKA SA TEGOVIMA;SN096-110-0006;available;;1000
102-100-0022;MOB.TEL.SAMSUNG SGH;SN102-100-0022;available;;1000
091-410-0006;ORMAR;SN091-410-0006;available;;1000
091-410-0007;KREVET;SN091-410-0007;available;;1000
091-450-0006;STOLICE;SN091-450-0006;available;;1000
091-470-0004;SUDOPERA SA SANKOM-SIVA-DEPAD;SN091-470-0004;available;;1000
092-110-0003;MOTORNA TESTERA;SN092-110-0003;available;;1000
091-620-0040;BOJLER 880 X1560;SN091-620-0040;available;;1000
091-410-0008;KREVETI;SN091-410-0008;available;;1000
091-450-0007;STO DECIJI-TRPEZARIJSKI;SN091-450-0007;available;;1000
091-470-0005;STO KUHINJSKI;SN091-470-0005;available;;1000
109-110-0048;PISACI STO KANCELARIJSKI;SN109-110-0048;available;;1000
091-410-0009;STOLICE;SN091-410-0009;available;;1000
091-410-0010;JEDNODELNA SUDOPERA;SN091-410-0010;available;;1000
091-500-0012;ELEKTRICNI SPORET;SN091-500-0012;available;;1000
091-500-0013;ZAMRZIVAC;SN091-500-0013;available;;1000
091-500-0014;FRIZIDER;SN091-500-0014;available;;1000
091-610-0012;VALJAK ZA PEGLANJE;SN091-610-0012;available;;1000
109-110-0049;KONFERENCIJSKI STO;SN109-110-0049;available;;1000
109-110-0050;KATEDRA;SN109-110-0050;available;;1000
091-410-0011;POLICA DRVENA U Å ANKU;SN091-410-0011;available;;1000
091-410-0012;NEUTRALNI STO SA VRATIMA;SN091-410-0012;available;;1000
091-410-0013;SANDUK ZA SMECE;SN091-410-0013;available;;1000
109-230-0002;PISACA MASINA;SN109-230-0002;available;;1000
091-500-0015;PLINSKI SPORET SA PL.UREDJAJEM;SN091-500-0015;available;;1000
091-610-0013;VES MASINA MERLONI;SN091-610-0013;available;;1000
091-500-0016;ZAMRZIVAC 410LIT.;SN091-500-0016;available;;1000
091-410-0014;STOLICE;SN091-410-0014;available;;1000
091-500-0017;ELEKTRICNI RESO;SN091-500-0017;available;;1000
091-410-0015;MALI STO 0.4 X0.6;SN091-410-0015;available;;1000
091-410-0016;STOLICA;SN091-410-0016;available;;1000
091-450-0008;TRPEZARIJSKA STOLICA;SN091-450-0008;available;;1000
091-430-0002;KREVETI METALNI;SN091-430-0002;available;;1000
091-500-0018;FRIZIDER KONCAR;SN091-500-0018;available;;1000
091-610-0014;MASINA ZA SUDOVE RAUHMENT;SN091-610-0014;available;;1000
091-500-0019;FRIZIDER BOS;SN091-500-0019;available;;1000
108-300-0006;TOPLOVODNI KOTAO;SN108-300-0006;available;;1000
108-300-0007;ULJNI PLAMENIK;SN108-300-0007;available;;1000
091-410-0017;KREVET;SN091-410-0017;available;;1000
098-100-0003;196 LADA 11116PUTNICKO;SN098-100-0003;available;;1000
109-600-0013;CD RADIO KASETOFON ZA LADU;SN109-600-0013;available;;1000
109-110-0051;STO KANC.SA KASETOM;SN109-110-0051;available;;1000
109-110-0052;RADNA PLOCA NA METALNOJ KONST.;SN109-110-0052;available;;1000
109-110-0053;VITRINA STAKI U 250X800X400;SN109-110-0053;available;;1000
109-130-0020;STOLICA KANCELARIJSKA;SN109-130-0020;available;;1000
109-130-0021;STOLICA KOZNA;SN109-130-0021;available;;1000
109-110-0054;STO KANC.2000X800X750;SN109-110-0054;available;;1000
109-110-0055;KASETA ZA KUCISTE;SN109-110-0055;available;;1000
109-700-0015;USISIVAC FOX WVC 2700;SN109-700-0015;available;;1000
109-230-0003;RACUNARSKA MASINA OLIMPIJA CPD;SN109-230-0003;available;;1000
109-230-0004;RAC.MASINA OLYIMPIA CPD 5212;SN109-230-0004;available;;1000
109-110-0056;STO KANC.SA KASETOM;SN109-110-0056;available;;1000
109-600-0014;TV PHILIPS 21 PT;SN109-600-0014;available;;1000
109-600-0015;FOTO APARAT OLYMPUS DIGITALNI;SN109-600-0015;available;;1000
109-230-0005;RACUNSKA MASINA OLYMPIA CPD 51;SN109-230-0005;available;;1000
109-300-0046;PC PENTIUM SKLOP;SN109-300-0046;available;;1000
109-300-0047;LAP TOP 5315;SN109-300-0047;available;;1000
109-300-0048;PC PENTIUM 4 SKI OP;SN109-300-0048;available;;1000
109-300-0049;PC PENTIUM 4 RACUNOVODSTVO;SN109-300-0049;available;;1000
102-100-0023;MOB.TELEF.-SAMSUNG SCH-1880;SN102-100-0023;available;;1000
109-300-0050;RACUNAR AMD PODSKLOP;SN109-300-0050;available;;1000
109-300-0051;RACUNAR AMD PODSKUP OP 1545;SN109-300-0051;available;;1000
091-470-0006;SUDOPERA SA PRATECIM DELOVIMA;SN091-470-0006;available;;1000
091-620-0041;RIENDER PHILIPS HR 2000;SN091-620-0041;available;;1000
091-620-0042;ITISON BASTA BIFE;SN091-620-0042;available;;1000
090-231-0004;FISKALNA KASA COLIBRI;SN090-231-0004;available;;1000
102-100-0024;MOB.TELEFON NOKIA MI209;SN102-100-0024;available;;1000
091-500-0020;ZAMRZIVAC VERT.FIN VF 25;SN091-500-0020;available;;1000
091-620-0043;SALAMOREZNICA;SN091-620-0043;available;;1000
091-610-0015;DVD KUCNI BIOSKOP;SN091-610-0015;available;;1000
090-231-0005;FISKALNA KASA INTEGRA;SN090-231-0005;available;;1000
091-450-0009;STOLOVI ÃˆETVRTASTI;SN091-450-0009;available;;1000
091-460-0002;STOLICA-TAPACIRANA DRAP;SN091-460-0002;available;;1000
091-460-0003;STOLOVI ÃˆETVRTASTI;SN091-460-0003;available;;1000
091-460-0004;STOLOVI ÃˆETVRTASTI;SN091-460-0004;available;;1000
091-450-0010;STOLICE DRVENE TAPACIRANE DRAP;SN091-450-0010;available;;1000
091-500-0021;ZAMRZIVAC 410LIT.SAND.BEKO;SN091-500-0021;available;;1000
091-500-0022;FRIZIDER 700LIT 180X0.9;SN091-500-0022;available;;1000
091-500-0023;ZAMRZIVAC VERTIK.ELIN 184mm;SN091-500-0023;available;;1000
091-500-0024;RESO NA GAS;SN091-500-0024;available;;1000
091-620-0044;MLIN ZA MESO;SN091-620-0044;available;;1000
091-500-0025;MIKROTALASNA-VORTEX D2;SN091-500-0025;available;;1000
109-300-0052;MONITOR;SN109-300-0052;available;;1000
091-620-0045;TV PLAZMA I 642;SN091-620-0045;available;;1000
091-450-0011;STO RESTORANSKI;SN091-450-0011;available;;1000
091-450-0012;STO RESTORANSKI F-160;SN091-450-0012;available;;1000
108-400-0003;KLIMA UREDJAJ KOREI.KSV;SN108-400-0003;available;;1000
